Date,Open,High,Low,Close
1871-01-01,5.32,5.32,5.32,5.32
1871-02-01,5.32,5.32,5.32,5.32
1871-03-01,5.32,5.33,5.32,5.33
1871-04-01,5.33,5.33,5.33,5.33
1871-05-01,5.33,5.33,5.33,5.33
1871-06-01,5.33,5.34,5.33,5.34
1871-07-01,5.34,5.34,5.34,5.34
1871-08-01,5.34,5.34,5.34,5.34
1871-09-01,5.34,5.35,5.34,5.35
1871-10-01,5.35,5.35,5.35,5.35
1871-11-01,5.35,5.35,5.35,5.35
1871-12-01,5.35,5.36,5.35,5.36
1872-01-01,5.36,5.36,5.36,5.36
1872-02-01,5.36,5.38,5.36,5.38
1872-03-01,5.38,5.4,5.38,5.4
1872-04-01,5.4,5.42,5.4,5.42
1872-05-01,5.42,5.43,5.42,5.43
1872-06-01,5.43,5.45,5.43,5.45
1872-07-01,5.45,5.47,5.45,5.47
1872-08-01,5.47,5.49,5.47,5.49
1872-09-01,5.49,5.51,5.49,5.51
1872-10-01,5.51,5.53,5.51,5.53
1872-11-01,5.53,5.54,5.53,5.54
1872-12-01,5.54,5.56,5.54,5.56
1873-01-01,5.56,5.58,5.56,5.58
1873-02-01,5.58,5.58,5.57,5.57
1873-03-01,5.57,5.57,5.56,5.56
1873-04-01,5.56,5.56,5.55,5.55
1873-05-01,5.55,5.55,5.54,5.54
1873-06-01,5.54,5.54,5.53,5.53
1873-07-01,5.53,5.53,5.53,5.53
1873-08-01,5.53,5.53,5.52,5.52
1873-09-01,5.52,5.52,5.51,5.51
1873-10-01,5.51,5.51,5.5,5.5
1873-11-01,5.5,5.5,5.49,5.49
1873-12-01,5.49,5.49,5.48,5.48
1874-01-01,5.48,5.48,5.47,5.47
1874-02-01,5.47,5.47,5.44,5.44
1874-03-01,5.44,5.44,5.4,5.4
1874-04-01,5.4,5.4,5.37,5.37
1874-05-01,5.37,5.37,5.34,5.34
1874-06-01,5.34,5.34,5.3,5.3
1874-07-01,5.3,5.3,5.27,5.27
1874-08-01,5.27,5.27,5.24,5.24
1874-09-01,5.24,5.24,5.2,5.2
1874-10-01,5.2,5.2,5.17,5.17
1874-11-01,5.17,5.17,5.14,5.14
1874-12-01,5.14,5.14,5.1,5.1
1875-01-01,5.1,5.1,5.07,5.07
1875-02-01,5.07,5.07,5.03,5.03
1875-03-01,5.03,5.03,4.99,4.99
1875-04-01,4.99,4.99,4.95,4.95
1875-05-01,4.95,4.95,4.91,4.91
1875-06-01,4.91,4.91,4.87,4.87
1875-07-01,4.87,4.87,4.83,4.83
1875-08-01,4.83,4.83,4.79,4.79
1875-09-01,4.79,4.79,4.75,4.75
1875-10-01,4.75,4.75,4.71,4.71
1875-11-01,4.71,4.71,4.67,4.67
1875-12-01,4.67,4.67,4.63,4.63
1876-01-01,4.63,4.63,4.59,4.59
1876-02-01,4.59,4.59,4.58,4.58
1876-03-01,4.58,4.58,4.57,4.57
1876-04-01,4.57,4.57,4.56,4.56
1876-05-01,4.56,4.56,4.54,4.54
1876-06-01,4.54,4.54,4.53,4.53
